,Star_name,Sp_T,V,B_V,Name,Model,STIS,Var_(%),RA,Decl,Vr,PM,PM,Simbad_Name,Alt_Simbad_Name,Astroquery_Name,HD_name,Alt_Star_name
21,BD+54 1216,sdF6,9.71,0.48,bd54d1216,_mod_002,_stis_005,,08 19 22.572,+54 05 09.63,66.0,-34.2,-628.56,HD233511,,HD 233511,HD233511,
22,BD+60 1753,A1V,9.65,0.07,bd60d1753,_mod_005,_stiswfc_004,<0.17,17 24 52.275,+60 25 50.75,-27.3,4.89,3.76,,,BD+60  1753,,
23,BD+17 4708,sdF8,9.47,0.44,bd_17d4708,,_stisnic_007,,22 11 31.375,+18 05 34.16,-291.0,506.37,60.49,,,BD+17  4708,,
24,BD+75 325,sdO5,9.55,-0.33,bd_75d325,,_stis_006*,,08 10 49.490,+74 57 57.94,-50.0,7.17,10.3,,,BD+75   325,,
25,C26202,F8IV,16.64,0.26,c26202,_mod_006,_stiswfcnic_005,,03 32 32.843,-27 51 48.58,,,,2MASS J03323287-2751483,[B2010] C26202,UCAC3 125-8171,,
26,DELTA UMI,A1V,4.34,0.03,delumi,_mod_004,_stis_004,0.04,17 32 12.997,+86 35 11.26,-7.6,10.17,53.97,HD166205,,* DEL UMI,HD166205,
27,ETA1 DOR,A0V,5.69,-0.01,eta1dor,_mod_004,_stis_004,0.18,06 06 09.382,-66 02 22.63,17.6,13.66,27.82,HD42525,,* ETA01 DOR,,ETA DOR
28,ETA UMA,B3V,1.85,-0.10,etauma,_mod_004,_stis_007,,13 47 32.438,+49 18 47.76,-13.0,-121.17,-14.91,HD120315,,* ETA UMA,HD120315,
29,FEIGE110,sdO,11.83,-0.30,feige110,,_stisnic_008*,,23 19 58.400,-05 09 56.17,,-10.68,0.31,,,FEIGE 110,,
30,FEIGE34,sdO,11.14,-0.23,feige34,,_stis_006*,,10 39 36.738,+43 06 09.21,1.0,12.54,-25.41,WD1036+433,,FEIGE  34,,
31,G191B2B,DA.8,11.781,-0.33,g191b2b,_mod_012,_stiswfcnic_004*,<0.74,05 05 30.618,+52 49 51.92,22.1,12.59,-93.52,BD+52 913,EGGR 247 WD0501+527,BD+52   913,,
32,GD153,DA1.2,13.349,-0.29,gd153,_mod_012,_stiswfcnic_004,<2.44,12 57 02.322,+22 01 52.63,8.3,-38.41,-202.95,WD1254+223,,GD 153,,
33,GD71,DA1.5,13.032,-0.25,gd71,_mod_012,_stiswfcnic_004,<1.90,05 52 27.620,+15 53 13.23,30.0,76.84,-172.94,WD0549+158,,GD 71,,
34,GJ754.1A,DBQA5,12.29,0.05,gj7541a,_mod_001,_stis_004,,19 20 34.923,-07 40 00.07,,-61.28,-161.77,LAWD74,WD1917-077,LAWD 74,,
35,GRW+70 5824,DA2.4,12.60,-0.06,grw_70d5824,_mod_001,_stiswfcnic_003,,13 38 50.478,+70 17 07.64,26.0,-402.09,-24.61,LAWD52,WD1337+705,LAWD 52,,
36,HD009051,G7III,8.92,0.81,hd009051,_mod_004,_stis_007,,01 28 46.503,-24 20 25.44,-72.0,53.56,-17.03,,,HD   9051,HD9051,
37,HD031128,F4V,9.14,0.41,hd031128,_mod_003,_stis_006,,04 52 09.910,-27 03 50.94,112.0,164.76,-26.52,,,HD  31128,HD31128,
38,HD074000,sdF6,9.66,0.45,hd074000,_mod_003,_stis_006,,08 40 50.804,-16 20 42.51,206.0,350.82,-484.16,,,HD  74000,HD74000,
39,HD101452,A2/3,8.20,-0.36,hd101452,_mod_003,_stis_003,<0.09,11 40 13.651,-39 08 47.67,,-34.17,-20.98,,,HD 101452,HD101452,
40,HD106252,G0,7.36,0.64,hd106252,_mod_005,_stis_007,,12 13 29.510,+10 02 29.89,16.0,22.86,-280.01,,,HD 106252,HD106252,
41,HD111980,F7V,8.38,0.53,hd111980,_mod_003,_stis_006,,12 53 15.053,-18 31 20.01,155.0,299.49,-796.09,,,HD 111980,HD111980,
42,HD115169,G3V,9.20,0.69,hd115169,_mod_003,_stis_003,<0.11,13 15 47.388,-29 30 21.18,21.2,-110.57,-82.09,,,HD 115169,HD115169,
43,HD116405,A0V,8.34,-0.07,hd116405,_mod_004,_stis_006,<0.10,13 22 45.124,+44 42 53.91,-19.0,8.01,-10.29,,,HD 116405,HD116405,
44,HD128998,A1V,5.83,0.00,hd128998,_mod_003,_stis_003,0.05,14 38 15.222,+54 01 24.02,-3.0,17.28,-18.99,HR 5467,,HD 128998,HD128998,
45,HD142331,G5V,8.75,0.64,hd142331,_mod_004,_stis_004,,15 54 19.788,-08 34 49.37,-70.8,-105.98,-23.73,,,HD 142331,HD142331,
46,HD14943,A5V,5.91,0.19,hd14943,_mod_003,_stis_005,0.05,02 22 54.675,-51 05 31.66,5.0,22.33,66.38,HR 701,,HD  14943,HD14943,
47,HD158485,A4V,6.50,0.13,hd158485,_mod_003,_stis_005,0.42,17 26 04.837,+58 39 06.83,-30.0,-9.1,14.67,HR 6514,,HD 158485,HD158485,
48,HD159222,G1V,6.56,0.65,hd159222,_mod_005,_stis_007,,17 32 00.992,+34 16 16.13,-52.0,-240.7,63.71,HR 6538,,HD 159222,HD159222,
49,HD160617,F,8.73,0.45,hd160617,_mod_002,_stis_005,,17 42 49.324,-40 19 15.51,100.0,-62.39,-393.23,,,HD 160617,HD160617,
50,HD163466,A6V,6.85,0.19,hd163466,_mod_003,_stis_005,0.17,17 52 25.376,+60 23 46.94,-16.0,-2.73,42.67,,,HD 163466,HD163466,
51,HD165459,A4V,6.86,0.13,hd165459,_mod_004,_stisnic_006,,18 02 30.741,+58 37 38.16,-19.2,-13.06,24.61,,,HD 165459,HD165459,
52,HD167060,G3V,8.92,0.64,hd167060,_mod_004,_stis_004,<0.09,18 17 44.143,-61 42 31.62,15.2,88.52,-145.15,,,HD 167060,HD167060,
53,HD172728,A0V,5.74,-0.05,hd172728,_mod_002,_stis_002,,18 37 33.517,+62 31 35.67,-10.5,-8.98,49.58,,,HD 172728,HD172728,
54,HD180609,A0V,9.42,0.15,hd180609,_mod_004,_stis_006,<0.13,19 12 47.200,+64 10 37.17,,-3.06,-7.79,,,HD 180609,HD180609,
55,HD185975,G3V,8.10,0.68,hd185975,_mod_004,_stis_007,,20 28 18.740,-87 28 19.94,-19.0,169.76,-56.99,,,HD 185975,HD185975,
56,HD200654,G,9.11,0.63,hd200654,_mod_004,_stis_007,,21 06 34.751,-49 57 50.28,-45.0,193.94,-273.89,,,HD 200654,HD200654,
57,HD200775,B2Ve,7.43,0.33,hd200775,,_stis_001,,21 01 36.921,+68 09 47.79,-3.4,7.6,-2.82,,,HD 200775,HD200775,
58,HD205905,G2V,6.74,0.62,hd205905,_mod_006,_stis_008,0.26,21 39 10.151,-27 18 23.67,-17.0,384.1,-83.96,,,HD 205905,HD205905,
59,HD209458,G0V,7.65,0.59,hd209458,_mod_003,_stisnic_008,,22 03 10.773,+18 53 03.55,-15.0,29.58,-17.89,,,HD 209458,HD209458,
60,HD2811,A3V,7.50,0.17,hd2811,_mod_004,_stis_004,,00 31 18.490,-43 36 23.00,,-6.02,-4.18,,,HD   2811,HD2811,
61,HD37725,A3V,8.31,-0.19,hd37725,_mod_005,_stiswfc_004,0.13,05 41 54.370,+29 17 50.96,,15.05,-26.93,,,HD  37725,HD37725,
62,HD37962,G2V,7.85,0.65,hd37962,_mod_007,_stis_009,<0.09,05 40 51.966,-31 21 03.99,3.0,-59.65,-365.23,,,HD  37962,HD37962,
63,HD38949,G1V,7.80,0.57,hd38949,_mod_005,_stis_007,1.17,05 48 20.059,-24 27 49.85,3.0,-30.44,-35.42,,,HD  38949,HD38949,
64,HD55677,A4V,9.41,0.06,hd55677,_mod_004,_stis_004,0.24,07 14 31.290,+13 51 36.79,-2.0,-2.66,-6.81,,,HD  55677,HD55677,
65,HD60753,B3IV,6.68,-0.09,hd60753,,_stis_004,,07 33 27.319,-50 35 03.31,20.0,-3.12,5.31,,,HD  60753,HD60753,
66,HD93521,O9Vp,6.99,-0.27,hd93521,_mod_003,_stis_007*,,10 48 23.512,+37 34 13.09,-14.0,0.22,1.72,,,HD  93521,HD93521,
67,HS2027+0651,DO,16.9,...,hs2027,,_stis_006,,20 29 32.506,+07 01 07.70,,9.24,1.53,WD2027+0651,,HS 2027+0651,,
68,HZ21,DO2,14.69,-0.33,hz21,,_stis_007,,12 13 56.264,+32 56 31.36,,-100.88,30.13,WD1211+332,,HZ 21,,
69,HZ43(8),DA,12.91,-0.31,hz43,,_stis_005*,,,,,,,,,HZ 43A,,
70,HZ43B(8),M3Ve,14.30,...,hz43b,,_stis_005,,,,,,,,,HZ 43B,,
71,HZ44,sdB,11.65,-0.23,hz44,,_stis_006*,,13 23 35.263,+36 07 59.55,,-66.27,-4.52,WD1321+364,,HZ 44,,
72,HZ4,DA3.4,14.51,0.09,hz4,,_stis_008,,03 55 21.988,+09 47 18.13,46.0,173.27,-5.51,WD0352+096,,HZ  4,,
73,KF06T2,K1.5III,13.80,1.30,kf06t2,_mod_006,_stiswfcnic_005,,17 58 37.995,+66 46 52.11,,0.62,-4.42,2MASS J17583798+6646522,[RMC2005] KF06T2,2MASS J17583798+6646522,,
74,KF08T3,K0.5III,13.18,1.21,kf08t3,_mod_005,_stisnic_004,,17 55 16.216,+66 10 11.61,-50.0,2.09,-6.39,2MASS J17551622+6610116,[RMC2005] KF08T3,UCAC3 313-62260,,
75,KSI2 CETI,B9III,4.28,-0.04,ksi2ceti,_mod_004,_stis_006,,02 28 09.557,+08 27 36.22,12.0,23.71,-4.79,,,* KSI02 CET,HD15318,
76,LAMBDA LEP,B0.5V,4.29,-0.25,lamlep,_mod_005,_stis_007,0.35,05 19 34.524,-13 10 36.44,20.0,-3.3,-4.91,,,* LAM LEP,HD34816,
77,LDS749B,DBQ4,14.674,-0.04,lds749b,_mod_007,_stisnic_008,,21 32 16.233,+00 15 14.40,-81.0,413.23,27.27,LAWD87,WD2129+000,LAWD 87,,
78,MU COL,O9.5V,5.18,-0.28,mucol,_mod_005,_stis_007,0.12,05 45 59.895,-32 18 23.16,109.0,2.99,-22.03,,,* MU. COL,HD38666,
79,NGC2506-G31,G1V,17.9,0.7,ngc2506g31,_mod_003,_stis_003,,,,,,,,,,,
80,NGC6681-1,...,15.77,0.18,NGC6681_1,,_stis_002,,18 43 13.319,-32 17 25.36,218.7,,,,,M  70,,
81,NGC6681-2,...,16.20,0.05,NGC6681_2,,_stis_002,,18 43 13.165,-32 17 25.82,218.7,,,,,M  70,,
82,NGC6681-3,...,16.90,0.03,NGC6681_3,,_stis_002,,18 43 13.041,-32 17 25.41,218.7,,,,,M  70,,
83,NGC6681-4,...,16.14,0.04,NGC6681_4,,_stis_002,,18 43 12.893,-32 17 26.43,218.7,,,,,M  70,,
84,NGC6681-5,...,16.37,0.03,NGC6681_5,,_stis_002,,18 43 12.872,-32 17 26.56,218.7,,,,,M  70,,
85,NGC6681-6,...,16.20,0.04,NGC6681_6,,_stis_002,,18 43 12.755,-32 17 25.69,218.7,,,,,M  70,,
86,NGC6681-7,...,16.05,1.24,NGC6681_7,,_stis_002,,18 43 12.639,-32 17 27.09,218.7,,,,,M  70,,
87,NGC6681-8,...,17.01,-0.01,NGC6681_8,,_stis_002,,18 43 12.278,-32 17 27.51,218.7,,,,,M  70,,
88,NGC6681-9,...,15.80,0.18,NGC6681_9,,_stis_002,,18 43 12.199,-32 17 27.11,218.7,,,,,M  70,,
89,NGC6681-10,...,19.14,-0.14,NGC6681_10,,_stis_002,,18 43 12.146,-32 17 26.58,218.7,,,,,M  70,,
90,NGC6681-11,...,15.65,0.22,NGC6681_11,,_stis_002,,18 43 12.049,-32 17 27.52,218.7,,,,,M  70,,
91,NGC6681-12,...,17.62,-0.08,NGC6681_12,,_stis_002,,18 43 11.902,-32 17 27.91,218.7,,,,,M  70,,
92,P041C,GOV,12.16,0.68,p041c,_mod_004,_stisnic_009*,<0.44,14 51 57.980,+71 43 17.39,-22.0,-49.32,19.58,2MASS J14515797+7143173,GSPC P 41-C,TYC 4413-304-1,,
93,P177D,G0V,13.49,0.60,p177d,_mod_005,_stisnic_010*,<1.00,15 59 13.579,+47 36 41.91,,-7.9,1.57,2MASS J15591357+4736419,GSPC P177-D,GSPC P177-D,,
94,P330E,G2V,12.92,0.64,p330e,_mod_006,_stiswfcnic_005*,<0.76,16 31 33.813,+30 08 46.40,-53.0,-8.99,-38.77,2MASS J16313382+3008465,GSPC P330-E,GSC 02581-02323,,
95,SDSS132811,DA,g=17.01,...,sdss132811,,_stis_004,,13 28 11.498,+46 30 50.94,,-130.86,-30.8,SDSS J132811.45+463050.8,WD1326+467,SDSS J132811.45+463050.8,,
96,SDSSJ151421,DA1.8,16.5,0.89,sdss151421,_mod_004,_stis_005,,15 14 21.273,+00 47 52.81,12.0,4.4,-27.04,SDSS J151421.27+004752.8,LB769 WD1511+009,LB   769,,
97,SF1615+001A,G,16.75,0.49,sf1615_001a,_mod_005,_stisnic_010,,16 18 14.240,+00 00 08.61,,2.4,-10.94,2MASS J16181422+0000086,[B2010] SF1615+001A,SDSS J161814.23+000008.6,,
98,SIGMA ORI,O9.5V+B0.2V,3.79,-0.21,sigori,,_stis_001,,05 38 44.765,-02 36 00.28,29.9,4.6,-0.4,,,* SIG ORI,HD37468,
99,SIRIUS,A1V,-1.46,0.00,sirius,_mod_005,_stis_005*,,06 45 08.917,-16 42 58.02,-6.0,-546.01,-1223.1,,,* ALF CMA,HD48915A,
100,SNAP-2,G0-5,16.23,0.86,snap2,_mod_006,_stiswfcnic_005,,16 19 46.103,+55 34 17.86,,-2.91,-10.95,2MASS J16194609+5534178,,UCAC3 292-117285,,
101,VB8,M7V,16.92,1.8,vb8,,_stiswfcnic_004,,16 55 35.256,-08 23 40.75,15.0,-813.42,-870.61,,,VB  8,,
102,WD0148+467,DA3.6,12.46,0.06,wd0148_467,,_stiswfc_001,,01 52 02.962,+47 00 06.65,64.0,4.64,122.02,,,GD 279,,
103,WD0227+050,DA2.5,12.80,-0.05,wd0227_050,,_stiswfc_002,,02 30 16.628,+05 15 50.70,16.5,76.96,-24.5,,,FEIGE  22,,
104,WD0308-565,sdB,14.07,-0.11,wd0308_565,_mod_007,_stis_009,,03 09 47.918,-56 23 49.41,-68.0,149.24,66.92,,,WG   7,,
105,WD0809+177,DA,13.46,,wd0809_177,,_stiswfc_002,,08 12 37.809,+17 37 01.43,,73.48,-87.17,,,PM J08126+1737,,
106,WD1057+719,DA1.2,14.68,...,wd1057_719,_mod_009,_stisnic_011,<6.05,11 00 34.243,+71 38 02.92,76.0,-43.64,-21.75,,,PG 1057+719,,
107,WD1105-048,DA3,13.06,0.04,wd1105_048,,_stiswfc_002,,11 07 59.950,-05 09 26.03,47.9,-55.55,-442.63,,,EGGR  76,,
108,WD1105-340,DA3.6,13.63,0.16,wd1105_340,,_stiswfc_002,,11 07 47.897,-34 20 51.49,,39.89,-263.43,,,SCR J1107-3420A,,
109,WD1202-232,DA5.7,12.90,0.14,wd1202_232,,_stiswfc_002,,12 05 26.674,-23 33 12.14,23.3,41.82,226.56,,,LP  852-7,,
110,WD1327-083,DA3.5,12.34,0.06,wd1327_083,,_stiswfc_004,,13 30 13.637,-08 34 29.47,36.0,-1111.1,-472.38,Gaia DR2 3630035787972473600,,BD-07  3632,,
111,WD1544-377,DA4.8,12.80,0.30,wd1544_377,,_stiswfc_002,,15 47 30.021,-37 55 08.46,21.1,-423.69,-209.11,,,HD 140901B,HD140901B,
112,WD1657+343,DA.9,16.1,...,wd1657_343,_mod_009,_stiswfcnic_006,<37.88,16 58 51.113,+34 18 53.32,,8.77,-31.23,Gaia DR2 1337946019956816256,,PG 1657+344,,
113,WD1713+695,DA3.2,13.20,~0.2,wd1713_695,,_stiswfc_002,,17 13 06.091,+69 31 25.51,,-55.51,-343.04,,,EGGR 370,,
114,WD1911+536,DA,13.26,~-0.1,wd1911_536,,_stiswfc_001,,19 12 48.566,+53 43 13.45,,144.45,136.06,,,LP  141-26,,
115,WD1919+145,DA3.3,13.01,0.06,wd1919_145,,_stiswfc_001,,19 21 40.418,+14 40 41.40,49.5,-33.02,-75.93,,,GD 219,,
116,WD2039-682,DA3.0,13.30,0.05,wd2039_682,,_stiswfc_001,,20 44 21.459,-68 05 21.36,57.0,182.1,-228.17,,,EGGR 140,,
117,WD2117+539,DA3.4,12.81,,wd2117_539,,_stiswfc_002,,21 18 56.264,+54 12 41.24,,-85.45,193.19,,,EGGR 378,,
118,WD2126+734,DA3.1,12.83,-0.03,wd2126_734,,_stiswfc_002,,21 26 57.656,+73 38 44.67,8.0,55.34,-314.2,,,G 263-3,,
119,WD2149+021,DA2.8,12.74,-0.01,wd2149_021,,_stiswfc_001,,21 52 25.379,+02 23 19.58,28.2,15.32,-300.53,,,EGGR 150,,
120,WD2341+322,DA3.8,12.94,0.12,wd2341_322,,_stiswfc_004,,23 43 50.721,+32 32 46.73,-16.0,-215.82,-59.74,Gaia DR2 2871730307948650368,LAWD93,LAWD 93,,
121,1812524,A4V,12.27,0.18,1812524,,_nic_005,,18 12 52.381,+60 02 31.95,,-3.03,-8.02,2MASS J18125240+6002319,TYC 4201-1717-1,TYC 4201-1717-1,,
122,BD+28 4211,sdO,10.51,-0.34,bd_28d4211,,_stis_005*,,21 51 11.022,+28 51 50.37,,-34.73,-56.85,WD2148+286,,BD+28  4211,,
123,KF01T5,K1III,13.56,...,kf01t5,,_nic_004,,18 04 03.894,+66 55 43.81,-22.0,-0.4,0.47,2MASS J18040388+6655437,[RMC2005] KF01T5,[RMC2005] KF01T5,,
124,KF06T1,K1.5III,13.52,0.98,kf06t1,,_nic_004,,17 57 58.486,+66 52 29.41,-41.0,-2.13,-8.7,2MASS J17575849+6652293,[RMC2005] KF06T1,[RMC2005] KF06T1,,
125,SNAP-1,sdB,15.40,0.20,snap1,,_stisnic_008,,16 29 35.747,+52 55 53.61,,-3.16,-20.8,2MASS J16293576+5255532,,PG 1628+530,,
126,SUN,G2V,-26.75,0.63,sun_reference,,_stis_002*,,,,,,,,,,,
127,SUN,G2V,-26.75,0.63,sun,_mod_001,,,,,,,,,,,,
128,WD0320-539,DA,14.9,...,wd0320_539,_mod_001,_stis_005,,03 22 14.820,-53 45 16.47,57.8,6.56,-59.93,,,LB  1663,,
129,WD0947+857,DA,16.4,...,wd0947_857,_mod_003,_stis_006,,09 57 54.296,+85 29 40.88,,-28.13,-27.27,,,RX J0957.8+8529,,
130,WD1026+453,DA,16.13,-0.04,wd1026_453,_mod_003,_stis_006,,10 29 45.295,+45 07 04.93,,-90.46,1.68,,,PG 1026+454,,
